nom_ree,ear_data,ear_max_ree,ear_verif_ree_mwmes,ear_verif_ree_percentual
NORTE,2016-02-21,15018.0,6147.0,40.93
PARANA,2016-02-21,152257.0,87457.0,57.44
SUDESTE,2016-02-21,50796.0,13708.0,26.99
SUL,2016-02-21,20100.0,19305.0,96.04
TELES PIRES,2016-02-21,0.0,0.0,0.0
BELO MONTE,2016-02-22,22.0,3.0,13.64
ITAIPU,2016-02-22,0.0,0.0,0.0
MADEIRA,2016-02-22,290.0,40.0,13.79
NORDESTE,2016-02-22,51809.0,15784.0,30.47
NORTE,2016-02-22,15018.0,6181.0,41.16
PARANA,2016-02-22,152257.0,87826.0,57.68
SUDESTE,2016-02-22,50796.0,13750.0,27.07
SUL,2016-02-22,20100.0,19274.0,95.89
TELES PIRES,2016-02-22,0.0,0.0,0.0
BELO MONTE,2016-02-23,22.0,3.0,13.64
ITAIPU,2016-02-23,0.0,0.0,0.0
MADEIRA,2016-02-23,290.0,41.0,14.14
NORDESTE,2016-02-23,51809.0,15845.0,30.58
NORTE,2016-02-23,15018.0,6181.0,41.16
PARANA,2016-02-23,152257.0,88150.0,57.9
SUDESTE,2016-02-23,50796.0,13792.0,27.15
SUL,2016-02-23,20100.0,19231.0,95.68
TELES PIRES,2016-02-23,0.0,0.0,0.0
BELO MONTE,2016-02-24,22.0,3.0,13.64
ITAIPU,2016-02-24,0.0,0.0,0.0
MADEIRA,2016-02-24,290.0,42.0,14.48
NORDESTE,2016-02-24,51809.0,15910.0,30.71
NORTE,2016-02-24,15018.0,6200.0,41.28
PARANA,2016-02-24,152257.0,88449.0,58.09
SUDESTE,2016-02-24,50796.0,13822.0,27.21
SUL,2016-02-24,20100.0,19216.0,95.6
TELES PIRES,2016-02-24,0.0,0.0,0.0
BELO MONTE,2016-02-25,22.0,3.0,13.64
ITAIPU,2016-02-25,0.0,0.0,0.0
MADEIRA,2016-02-25,290.0,44.0,15.17
NORDESTE,2016-02-25,51809.0,15982.0,30.85
NORTE,2016-02-25,15018.0,6209.0,41.34
PARANA,2016-02-25,152257.0,88696.0,58.25
SUDESTE,2016-02-25,50796.0,13852.0,27.27
SUL,2016-02-25,20100.0,19177.0,95.41
TELES PIRES,2016-02-25,0.0,0.0,0.0
BELO MONTE,2016-02-26,22.0,3.0,13.64
ITAIPU,2016-02-26,0.0,0.0,0.0
MADEIRA,2016-02-26,290.0,47.0,16.21
NORDESTE,2016-02-26,51809.0,16038.0,30.96
NORTE,2016-02-26,15018.0,6209.0,41.34
PARANA,2016-02-26,152257.0,88706.0,58.26
SUDESTE,2016-02-26,50796.0,13877.0,27.32
SUL,2016-02-26,20100.0,19128.0,95.16
TELES PIRES,2016-02-26,0.0,0.0,0.0
BELO MONTE,2016-02-27,22.0,3.0,13.64
ITAIPU,2016-02-27,0.0,0.0,0.0
MADEIRA,2016-02-27,290.0,50.0,17.24
NORDESTE,2016-02-27,51809.0,16148.0,31.17
NORTE,2016-02-27,15018.0,6221.0,41.42
