data,subsistema,ena
2016-05-11,SUDESTE,33874.0
2016-05-11,SUL,8238.0
2016-05-12,NORDESTE,1551.0
2016-05-12,NORTE,4529.0
2016-05-12,SUDESTE,34238.0
2016-05-12,SUL,7809.0
2016-05-13,NORDESTE,1564.0
2016-05-13,NORTE,4371.0
2016-05-13,SUDESTE,34120.0
2016-05-13,SUL,7388.0
2016-05-14,NORDESTE,1589.0
2016-05-14,NORTE,4208.0
2016-05-14,SUDESTE,33598.0
2016-05-14,SUL,7053.0
2016-05-15,NORDESTE,1630.0
2016-05-15,NORTE,4099.0
2016-05-15,SUDESTE,33029.0
2016-05-15,SUL,7298.0
2016-05-16,NORDESTE,1685.0
2016-05-16,NORTE,3997.0
2016-05-16,SUDESTE,32668.0
2016-05-16,SUL,8859.0
2016-05-17,NORDESTE,1736.0
2016-05-17,NORTE,3919.0
2016-05-17,SUDESTE,32468.0
2016-05-17,SUL,9523.0
2016-05-18,NORDESTE,1771.0
2016-05-18,NORTE,3821.0
2016-05-18,SUDESTE,32405.0
2016-05-18,SUL,9057.0
2016-05-19,NORDESTE,1773.0
2016-05-19,NORTE,3756.0
2016-05-19,SUDESTE,32783.0
2016-05-19,SUL,8359.0
2016-05-20,NORDESTE,1752.0
2016-05-20,NORTE,3656.0
2016-05-20,SUDESTE,32995.0
2016-05-20,SUL,10406.0
2016-05-21,NORDESTE,1752.0
2016-05-21,NORTE,3566.0
2016-05-21,SUDESTE,34029.0
2016-05-21,SUL,18251.0
2016-05-22,NORDESTE,1775.0
2016-05-22,NORTE,3474.0
2016-05-22,SUDESTE,33966.0
2016-05-22,SUL,20815.0
2016-05-23,NORDESTE,1795.0
2016-05-23,NORTE,3420.0
2016-05-23,SUDESTE,35180.0
2016-05-23,SUL,19945.0
2016-05-24,NORDESTE,1855.0
2016-05-24,NORTE,3352.0
2016-05-24,SUDESTE,36057.0
2016-05-24,SUL,17416.0
2016-05-25,NORDESTE,1868.0
2016-05-25,NORTE,3305.0
2016-05-25,SUDESTE,36541.0
2016-05-25,SUL,15193.0
2016-05-26,NORDESTE,1779.0
2016-05-26,NORTE,3231.0
2016-05-26,SUDESTE,36426.0
2016-05-26,SUL,13946.0
2016-05-27,NORDESTE,1624.0
2016-05-27,NORTE,3163.0
2016-05-27,SUDESTE,36217.0
2016-05-27,SUL,13671.0
2016-05-28,NORDESTE,1491.0
2016-05-28,NORTE,3048.0
2016-05-28,SUDESTE,35589.0
2016-05-28,SUL,13648.0
2016-05-29,NORDESTE,1508.0
2016-05-29,NORTE,2968.0
2016-05-29,SUDESTE,35036.0
2016-05-29,SUL,13769.0
2016-05-30,NORDESTE,1527.0
2016-05-30,NORTE,2878.0
2016-05-30,SUDESTE,35729.0
2016-05-30,SUL,14433.0
2016-05-31,NORDESTE,1455.0
2016-05-31,NORTE,2819.0
2016-05-31,SUDESTE,36651.0
2016-05-31,SUL,14981.0
2016-06-01,NORDESTE,1393.0
2016-06-01,NORTE,2784.0
2016-06-01,SUDESTE,37639.0
2016-06-01,SUL,14792.0
2016-06-02,NORDESTE,1365.0
2016-06-02,NORTE,2778.0
2016-06-02,SUDESTE,38725.0
2016-06-02,SUL,14439.0
2016-06-03,NORDESTE,1360.0
2016-06-03,NORTE,2739.0
2016-06-03,SUDESTE,39662.0
2016-06-03,SUL,13732.0
2016-06-04,NORDESTE,1389.0
2016-06-04,NORTE,2723.0
2016-06-04,SUDESTE,40747.0
2016-06-04,SUL,12795.0
2016-06-05,NORDESTE,1462.0
2016-06-05,NORTE,2729.0
2016-06-05,SUDESTE,42348.0
2016-06-05,SUL,12200.0
2016-06-06,NORDESTE,1566.0
2016-06-06,NORTE,2710.0
2016-06-06,SUDESTE,44093.0
2016-06-06,SUL,11789.0
2016-06-07,NORDESTE,1559.0
2016-06-07,NORTE,2691.0
2016-06-07,SUDESTE,45520.0
2016-06-07,SUL,11094.0
2016-06-08,NORDESTE,1517.0
2016-06-08,NORTE,2658.0
2016-06-08,SUDESTE,46333.0
2016-06-08,SUL,10361.0
2016-06-09,NORDESTE,1498.0
2016-06-09,NORTE,2635.0
2016-06-09,SUDESTE,46918.0
2016-06-09,SUL,9682.0
2016-06-10,NORDESTE,1485.0
2016-06-10,NORTE,2591.0
2016-06-10,SUDESTE,47475.0
2016-06-10,SUL,8976.0
2016-06-11,NORDESTE,1474.0
2016-06-11,NORTE,2562.0
2016-06-11,SUDESTE,47095.0
2016-06-11,SUL,8301.0
2016-06-12,NORDESTE,1469.0
2016-06-12,NORTE,2513.0
2016-06-12,SUDESTE,45810.0
2016-06-12,SUL,7698.0
2016-06-13,NORDESTE,1462.0
2016-06-13,NORTE,2484.0
2016-06-13,SUDESTE,43820.0
2016-06-13,SUL,7372.0
2016-06-14,NORDESTE,1460.0
2016-06-14,NORTE,2428.0
2016-06-14,SUDESTE,41590.0
2016-06-14,SUL,6978.0
2016-06-15,NORDESTE,1462.0
2016-06-15,NORTE,2382.0
2016-06-15,SUDESTE,39585.0
2016-06-15,SUL,6815.0
2016-06-16,NORDESTE,1463.0
2016-06-16,NORTE,2316.0
2016-06-16,SUDESTE,37944.0
2016-06-16,SUL,6777.0
2016-06-17,NORDESTE,1459.0
2016-06-17,NORTE,2269.0
2016-06-17,SUDESTE,36476.0
2016-06-17,SUL,7482.0
2016-06-18,NORDESTE,1453.0
2016-06-18,NORTE,2219.0
2016-06-18,SUDESTE,35527.0
2016-06-18,SUL,8026.0
2016-06-19,NORDESTE,1440.0
2016-06-19,NORTE,2173.0
2016-06-19,SUDESTE,34545.0
2016-06-19,SUL,8078.0
2016-06-20,NORDESTE,1433.0
2016-06-20,NORTE,2145.0
2016-06-20,SUDESTE,33724.0
2016-06-20,SUL,8021.0
2016-06-21,NORDESTE,1419.0
2016-06-21,NORTE,2110.0
2016-06-21,SUDESTE,32600.0
2016-06-21,SUL,9333.0
2016-06-22,NORDESTE,1412.0
2016-06-22,NORTE,2109.0
2016-06-22,SUDESTE,31773.0
2016-06-22,SUL,11228.0
2016-06-23,NORDESTE,1403.0
2016-06-23,NORTE,2134.0
2016-06-23,SUDESTE,31600.0
2016-06-23,SUL,11923.0
2016-06-24,NORDESTE,1394.0
2016-06-24,NORTE,2175.0
2016-06-24,SUDESTE,32149.0
2016-06-24,SUL,11296.0
2016-06-25,NORDESTE,1482.0
2016-06-25,NORTE,2191.0
2016-06-25,SUDESTE,31650.0
2016-06-25,SUL,10539.0
2016-06-26,NORDESTE,1607.0
2016-06-26,NORTE,2195.0
2016-06-26,SUDESTE,30409.0
2016-06-26,SUL,9866.0
2016-06-27,NORDESTE,1625.0
2016-06-27,NORTE,2183.0
2016-06-27,SUDESTE,29127.0
2016-06-27,SUL,9499.0
2016-06-28,NORDESTE,1530.0
2016-06-28,NORTE,2124.0
2016-06-28,SUDESTE,28245.0
2016-06-28,SUL,9272.0
2016-06-29,NORDESTE,1430.0
